Para la k 5 la media cuadrada de los errores es: 0.599616
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 5 13 jaccard sm 0.41 jaccard directo 0.254294 error relativo 0.612307
 documentos 5 14 jaccard sm 0.33 jaccard directo 0.236521 error relativo 0.395222
 documentos 5 15 jaccard sm 0.4 jaccard directo 0.242689 error relativo 0.648196
 documentos 5 16 jaccard sm 0.38 jaccard directo 0.244142 error relativo 0.556471
 documentos 5 17 jaccard sm 0.38 jaccard directo 0.237339 error relativo 0.601082
 documentos 5 18 jaccard sm 0.39 jaccard directo 0.23446 error relativo 0.663393
 documentos 5 19 jaccard sm 0.37 jaccard directo 0.250686 error relativo 0.47595
 documentos 6 7 jaccard sm 0.34 jaccard directo 0.245314 error relativo 0.385976
 documentos 6 9 jaccard sm 0.39 jaccard directo 0.234019 error relativo 0.666527
 documentos 6 10 jaccard sm 0.41 jaccard directo 0.244196 error relativo 0.678979
 documentos 6 11 jaccard sm 0.34 jaccard directo 0.233577 error relativo 0.455623
 documentos 6 12 jaccard sm 0.34 jaccard directo 0.238953 error relativo 0.422875
 documentos 6 13 jaccard sm 0.34 jaccard directo 0.238462 error relativo 0.425805
 documentos 6 14 jaccard sm 0.4 jaccard directo 0.239498 error relativo 0.670157
 documentos 6 15 jaccard sm 0.4 jaccard directo 0.246078 error relativo 0.625501
 documentos 6 16 jaccard sm 0.32 jaccard directo 0.231311 error relativo 0.383418
 documentos 6 17 jaccard sm 0.4 jaccard directo 0.240011 error relativo 0.666587
 documentos 6 18 jaccard sm 0.37 jaccard directo 0.231021 error relativo 0.601581
 documentos 6 19 jaccard sm 0.36 jaccard directo 0.234702 error relativo 0.533856
 documentos 7 8 jaccard sm 0.4 jaccard directo 0.249728 error relativo 0.601739
 documentos 7 9 jaccard sm 0.39 jaccard directo 0.228432 error relativo 0.707289
 documentos 7 10 jaccard sm 0.38 jaccard directo 0.252048 error relativo 0.507647
 documentos 7 11 jaccard sm 0.4 jaccard directo 0.246743 error relativo 0.62112
 documentos 7 12 jaccard sm 0.36 jaccard directo 0.251232 error relativo 0.432939
 documentos 7 14 jaccard sm 0.39 jaccard directo 0.254526 error relativo 0.532261
 documentos 7 15 jaccard sm 0.39 jaccard directo 0.240675 error relativo 0.620439
 documentos 7 16 jaccard sm 0.38 jaccard directo 0.244831 error relativo 0.552087
 documentos 7 17 jaccard sm 0.34 jaccard directo 0.232318 error relativo 0.463511
 documentos 7 18 jaccard sm 0.42 jaccard directo 0.232817 error relativo 0.803987
 documentos 7 19 jaccard sm 0.38 jaccard directo 0.238147 error relativo 0.595652
 documentos 8 9 jaccard sm 0.36 jaccard directo 0.233899 error relativo 0.539122
 documentos 8 10 jaccard sm 0.37 jaccard directo 0.252634 error relativo 0.464565
 documentos 8 11 jaccard sm 0.4 jaccard directo 0.236093 error relativo 0.694247
 documentos 8 12 jaccard sm 0.37 jaccard directo 0.246764 error relativo 0.499408
 documentos 8 13 jaccard sm 0.37 jaccard directo 0.240941 error relativo 0.535643
 documentos 8 14 jaccard sm 0.37 jaccard directo 0.245288 error relativo 0.508428
 documentos 8 15 jaccard sm 0.32 jaccard directo 0.23871 error relativo 0.340539
 documentos 8 16 jaccard sm 0.38 jaccard directo 0.235184 error relativo 0.615752
 documentos 8 17 jaccard sm 0.41 jaccard directo 0.239783 error relativo 0.709873
 documentos 8 18 jaccard sm 0.37 jaccard directo 0.24735 error relativo 0.495855
 documentos 8 19 jaccard sm 0.33 jaccard directo 0.242204 error relativo 0.362485
 documentos 9 10 jaccard sm 0.41 jaccard directo 0.242177 error relativo 0.692975
 documentos 9 11 jaccard sm 0.38 jaccard directo 0.236614 error relativo 0.605986
 documentos 9 12 jaccard sm 0.38 jaccard directo 0.237629 error relativo 0.599128
 documentos 9 13 jaccard sm 0.36 jaccard directo 0.233415 error relativo 0.542313
